Sample,Reads before trim,After trimming,Percent retained after trim,After mapping,Percent mapped,After counting,Percent counted/mapped
0.5-1,15080682,13631979,90.39%,13042446,95.68%,10559447,77.46%
0.5-2,15066384,13604844,90.30%,12866570,94.57%,10488187,77.09%
0.5-3,16352714,14582883,89.18%,13980632,95.87%,11322965,77.65%
0.5-4,14173108,12798392,90.30%,12213780,95.43%,9937041,77.64%
0.5-5,15420160,13914306,90.23%,13246498,95.20%,10667103,76.66%
0.5-6,11043075,10620558,96.17%,10102560,95.12%,8364220,78.75%
3.5-1,14476481,13263476,91.62%,12782737,96.38%,10377008,78.24%
3.5-2,9296007,9047410,97.33%,8519329,94.16%,7217475,79.77%
3.5-3,15640161,14041008,89.78%,13465718,95.90%,10967343,78.11%
3.5-4,14354239,12804950,89.21%,12184688,95.16%,9904052,77.35%
3.5-5,13265079,11929472,89.93%,11363570,95.26%,9193371,77.06%
3.5-6,16113538,14769787,91.66%,14143855,95.76%,11586855,78.45%
A-1,17740487,15882022,89.52%,15139948,95.33%,11886378,74.84%
A-2,14881716,14066504,94.52%,13364222,95.01%,10858084,77.19%
A-3,12735602,11649936,91.48%,11180066,95.97%,8965773,76.96%
A-4,15890635,14152874,89.06%,13539623,95.67%,10896969,76.99%
A-5,14137237,12771722,90.34%,12256955,95.97%,9998329,78.28%
A-6,15499781,14750710,95.17%,14079068,95.45%,11551500,78.31%
C-1,14184895,12905095,90.98%,12417484,96.22%,10210518,79.12%
C-2,13418024,12079876,90.03%,11557566,95.68%,9480287,78.48%
C-3,15671108,14302458,91.27%,13694425,95.75%,11002387,76.93%
C-4,15725830,14100184,89.66%,13476971,95.58%,10876383,77.14%
C-5,15201451,13717258,90.24%,13123455,95.67%,10722031,78.16%
C-6,16714325,15143352,90.60%,14443593,95.38%,11774587,77.75%
R-1,9764254,9518329,97.48%,9076983,95.36%,7705652,80.96%
R-2,13633312,12122216,88.92%,11495975,94.83%,9287748,76.62%
R-3,17051950,15183092,89.04%,14552705,95.85%,11863513,78.14%
R-4,16607656,14836614,89.34%,14060646,94.77%,11263233,75.92%
R-5,16630154,14802169,89.01%,14130335,95.46%,11245707,75.97%
R-6,15880651,14329728,90.23%,13539256,94.48%,11160431,77.88%
